,city,latitude,longitude,date,conditions,description
0,Chicago,41.8843,-87.6324,2023-05-01,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.
1,Chicago,41.8843,-87.6324,2023-05-02,Overcast,Cloudy skies throughout the day.
2,Chicago,41.8843,-87.6324,2023-05-03,Partially cloudy,Clearing in the afternoon.
3,Chicago,41.8843,-87.6324,2023-05-04,Partially cloudy,Partly cloudy throughout the day.
4,Chicago,41.8843,-87.6324,2023-05-05,Partially cloudy,Partly cloudy throughout the day.
5,Chicago,41.8843,-87.6324,2023-05-06,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.
6,Chicago,41.8843,-87.6324,2023-05-07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
7,Chicago,41.8843,-87.6324,2023-05-08,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
8,Chicago,41.8843,-87.6324,2023-05-09,Partially cloudy,Partly cloudy throughout the day.
9,Chicago,41.8843,-87.6324,2023-05-10,Partially cloudy,Partly cloudy throughout the day.
10,Chicago,41.8843,-87.6324,2023-05-11,Partially cloudy,Partly cloudy throughout the day.
11,Chicago,41.8843,-87.6324,2023-05-12,"Rain, Overcast",Cloudy skies throughout the day with rain.
12,Chicago,41.8843,-87.6324,2023-05-13,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.
13,Chicago,41.8843,-87.6324,2023-05-14,"Rain, Overcast",Cloudy skies throughout the day with rain.
14,Chicago,41.8843,-87.6324,2023-05-15,Partially cloudy,Partly cloudy throughout the day.
15,Chicago,41.8843,-87.6324,2023-05-16,Partially cloudy,Partly cloudy throughout the day.
16,Chicago,41.8843,-87.6324,2023-05-17,Partially cloudy,Partly cloudy throughout the day.
17,Chicago,41.8843,-87.6324,2023-05-18,Partially cloudy,Partly cloudy throughout the day.
18,Chicago,41.8843,-87.6324,2023-05-19,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
19,Chicago,41.8843,-87.6324,2023-05-20,Clear,Clear conditions throughout the day.
20,Chicago,41.8843,-87.6324,2023-05-21,Clear,Clear conditions throughout the day.
21,Chicago,41.8843,-87.6324,2023-05-22,Partially cloudy,Partly cloudy throughout the day.
22,Chicago,41.8843,-87.6324,2023-05-23,Clear,Clear conditions throughout the day.
23,Chicago,41.8843,-87.6324,2023-05-24,Partially cloudy,Partly cloudy throughout the day.
24,Chicago,41.8843,-87.6324,2023-05-25,Partially cloudy,Clearing in the afternoon.
25,Chicago,41.8843,-87.6324,2023-05-26,Clear,Clear conditions throughout the day.
26,Chicago,41.8843,-87.6324,2023-05-27,Partially cloudy,Partly cloudy throughout the day.
27,Chicago,41.8843,-87.6324,2023-05-28,Partially cloudy,Partly cloudy throughout the day.
28,Chicago,41.8843,-87.6324,2023-05-29,Partially cloudy,Partly cloudy throughout the day.
29,Chicago,41.8843,-87.6324,2023-05-30,Partially cloudy,Partly cloudy throughout the day.
30,Chicago,41.8843,-87.6324,2023-05-31,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
31,Chicago,41.8843,-87.6324,2023-06-01,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
32,Chicago,41.8843,-87.6324,2023-06-02,Partially cloudy,Partly cloudy throughout the day.
33,Chicago,41.8843,-87.6324,2023-06-03,Partially cloudy,Partly cloudy throughout the day.
34,Chicago,41.8843,-87.6324,2023-06-04,Partially cloudy,Partly cloudy throughout the day.
35,Chicago,41.8843,-87.6324,2023-06-05,Partially cloudy,Clearing in the afternoon.
36,Chicago,41.8843,-87.6324,2023-06-06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
37,Chicago,41.8843,-87.6324,2023-06-07,Partially cloudy,Clearing in the afternoon.
38,Chicago,41.8843,-87.6324,2023-06-08,Clear,Clear conditions throughout the day.
39,Chicago,41.8843,-87.6324,2023-06-09,Clear,Clear conditions throughout the day.
40,Chicago,41.8843,-87.6324,2023-06-10,Partially cloudy,Partly cloudy throughout the day.
41,Chicago,41.8843,-87.6324,2023-06-11,"Rain, Overcast",Cloudy skies throughout the day with rain.
