,city,latitude,longitude,date,cloudcover,dewpoint,pressure,uv_index,visibility
0,Chicago,41.8843,-87.6324,2023-05-01,98.8,35.7,997.4,2.0,9.4
1,Chicago,41.8843,-87.6324,2023-05-02,95.2,32.0,1002.8,7.0,9.9
2,Chicago,41.8843,-87.6324,2023-05-03,59.8,34.4,1012.9,9.0,9.9
3,Chicago,41.8843,-87.6324,2023-05-04,30.6,36.0,1015.0,9.0,9.9
4,Chicago,41.8843,-87.6324,2023-05-05,54.4,38.6,1015.9,8.0,9.9
5,Chicago,41.8843,-87.6324,2023-05-06,94.4,50.4,1016.1,2.0,9.9
6,Chicago,41.8843,-87.6324,2023-05-07,77.1,58.9,1011.1,8.0,9.8
7,Chicago,41.8843,-87.6324,2023-05-08,93.4,49.9,1013.9,1.0,8.1
8,Chicago,41.8843,-87.6324,2023-05-09,55.1,43.8,1020.3,9.0,9.5
9,Chicago,41.8843,-87.6324,2023-05-10,52.4,42.2,1020.9,9.0,9.9
10,Chicago,41.8843,-87.6324,2023-05-11,60.4,42.4,1017.7,9.0,9.9
11,Chicago,41.8843,-87.6324,2023-05-12,95.5,55.9,1015.9,3.0,8.8
12,Chicago,41.8843,-87.6324,2023-05-13,99.0,52.8,1019.7,2.0,9.2
13,Chicago,41.8843,-87.6324,2023-05-14,98.8,44.4,1026.2,2.0,9.9
14,Chicago,41.8843,-87.6324,2023-05-15,85.1,34.9,1025.4,8.0,9.9
15,Chicago,41.8843,-87.6324,2023-05-16,74.5,40.3,1012.6,9.0,9.9
16,Chicago,41.8843,-87.6324,2023-05-17,53.1,38.6,1016.0,8.0,9.9
17,Chicago,41.8843,-87.6324,2023-05-18,57.4,34.1,1016.9,6.0,9.9
18,Chicago,41.8843,-87.6324,2023-05-19,85.5,49.0,1014.0,2.0,8.6
19,Chicago,41.8843,-87.6324,2023-05-20,19.6,41.2,1020.2,8.0,9.9
20,Chicago,41.8843,-87.6324,2023-05-21,16.3,40.8,1020.2,9.0,9.9
21,Chicago,41.8843,-87.6324,2023-05-22,41.3,41.9,1019.4,8.0,9.9
22,Chicago,41.8843,-87.6324,2023-05-23,13.8,43.9,1018.9,7.0,9.9
23,Chicago,41.8843,-87.6324,2023-05-24,37.5,45.5,1021.2,8.0,9.9
24,Chicago,41.8843,-87.6324,2023-05-25,48.1,33.1,1025.5,7.0,9.9
25,Chicago,41.8843,-87.6324,2023-05-26,17.8,34.1,1026.6,9.0,9.9
26,Chicago,41.8843,-87.6324,2023-05-27,46.8,35.8,1024.7,8.0,9.9
27,Chicago,41.8843,-87.6324,2023-05-28,74.7,38.2,1019.9,8.0,9.9
28,Chicago,41.8843,-87.6324,2023-05-29,59.9,41.9,1016.0,8.0,9.9
29,Chicago,41.8843,-87.6324,2023-05-30,48.4,47.5,1014.3,9.0,9.9
30,Chicago,41.8843,-87.6324,2023-05-31,57.9,58.8,1014.4,6.0,9.9
31,Chicago,41.8843,-87.6324,2023-06-01,52.6,61.4,1016.3,8.0,9.9
32,Chicago,41.8843,-87.6324,2023-06-02,53.4,53.1,1016.6,9.0,9.9
33,Chicago,41.8843,-87.6324,2023-06-03,50.6,54.4,1015.7,9.0,9.9
34,Chicago,41.8843,-87.6324,2023-06-04,37.1,46.1,1016.9,5.0,9.8
35,Chicago,41.8843,-87.6324,2023-06-05,50.9,44.5,1017.0,9.0,9.8
36,Chicago,41.8843,-87.6324,2023-06-06,86.1,51.0,1013.9,4.0,8.9
37,Chicago,41.8843,-87.6324,2023-06-07,36.3,44.0,1011.8,8.0,9.4
38,Chicago,41.8843,-87.6324,2023-06-08,4.8,40.9,1012.4,8.0,9.9
39,Chicago,41.8843,-87.6324,2023-06-09,14.0,40.6,1012.3,9.0,9.9
40,Chicago,41.8843,-87.6324,2023-06-10,47.7,41.7,1008.4,9.0,9.9
41,Chicago,41.8843,-87.6324,2023-06-11,98.9,50.8,1009.1,1.0,9.7
42,Chicago,41.8843,-87.6324,2023-06-12,83.4,41.3,1010.1,5.0,9.9
43,Chicago,41.8843,-87.6324,2023-06-13,94.4,53.4,1003.5,3.0,8.6
