,city,date,precipitation,precipitation_type,severe_risk
0,Chicago,5/1/23,0.068,['rain'],10
1,Chicago,5/2/23,0,,10
2,Chicago,5/3/23,0,,10
3,Chicago,5/4/23,0,,10
4,Chicago,5/5/23,0,,10
5,Chicago,5/6/23,0.027,['rain'],10
6,Chicago,5/7/23,0.04,['rain'],30
7,Chicago,5/8/23,0.132,['rain'],10
8,Chicago,5/9/23,0,,10
9,Chicago,5/10/23,0,,10
10,Chicago,5/11/23,0,,10
11,Chicago,5/12/23,0.22,['rain'],10
12,Chicago,5/13/23,0.016,['rain'],10
13,Chicago,5/14/23,0.017,['rain'],10
14,Chicago,5/15/23,0,,10
15,Chicago,5/16/23,0,,10
16,Chicago,5/17/23,0,,10
17,Chicago,5/18/23,0,,10
18,Chicago,5/19/23,0.049,['rain'],10
19,Chicago,5/20/23,0,,10
20,Chicago,5/21/23,0,,10
21,Chicago,5/22/23,0,,10
22,Chicago,5/23/23,0,,10
23,Chicago,5/24/23,0,,10
24,Chicago,5/25/23,0,,10
25,Chicago,5/26/23,0,,10
26,Chicago,5/27/23,0,,10
27,Chicago,5/28/23,0,,10
28,Chicago,5/29/23,0,,10
29,Chicago,5/30/23,0,,10
30,Chicago,5/31/23,0.077,['rain'],30
31,Chicago,6/1/23,0.1,['rain'],10
32,Chicago,6/2/23,0,,10
33,Chicago,6/3/23,0,,10
34,Chicago,6/4/23,0,,10
35,Chicago,6/5/23,0,,10
36,Chicago,6/6/23,0.016,['rain'],10
37,Chicago,6/7/23,0,,10
38,Chicago,6/8/23,0,,10
39,Chicago,6/9/23,0,,10
40,Chicago,6/10/23,0,,10
41,Chicago,6/11/23,0.057,['rain'],10
42,Chicago,6/12/23,0,,10
43,Chicago,6/13/23,0.521,['rain'],10
44,Chicago,6/14/23,0,,10
45,Chicago,6/15/23,0,,10
46,Chicago,6/16/23,0,,10
47,Chicago,6/17/23,0,,10
48,Chicago,6/18/23,0,,10
49,Chicago,6/19/23,0,,10
50,Chicago,6/20/23,0,,10
51,Chicago,6/21/23,0,,10
52,Chicago,6/22/23,0,,10
53,Chicago,6/23/23,0,,10
54,Chicago,6/24/23,0,,10
55,Chicago,6/25/23,1.078,['rain'],60
56,Chicago,6/26/23,0.009,['rain'],10
57,Chicago,6/27/23,0,,10
58,Chicago,6/28/23,0,,10
59,Chicago,6/29/23,0.039,['rain'],30
60,Chicago,6/30/23,0.001,['rain'],30
61,Chicago,7/1/23,0.07,['rain'],10
62,Chicago,7/2/23,3.278,['rain'],10
63,Chicago,7/3/23,0,,10
64,Chicago,7/4/23,0,,30
65,Chicago,7/5/23,1.136,['rain'],30
66,Chicago,7/6/23,0,,10
67,Chicago,7/7/23,0.004,['rain'],10
68,Chicago,7/8/23,0.201,['rain'],10
69,Chicago,7/9/23,0,,10
70,Chicago,7/10/23,0,,10
71,Chicago,7/11/23,0.74,['rain'],30
72,Chicago,7/12/23,1.182,['rain'],10
73,Chicago,7/13/23,0.007,['rain'],10
74,Chicago,7/14/23,0.146,['rain'],60
75,Chicago,7/15/23,0.335,['rain'],60
76,Chicago,7/16/23,0,,10
77,Chicago,7/17/23,0,,10
78,Chicago,7/18/23,0,,10
79,Chicago,7/19/23,0,,10
80,Chicago,7/20/23,0,,60
81,Chicago,7/21/23,0,,10
82,Chicago,7/22/23,0.019,['rain'],10
83,Chicago,7/23/23,0.165,['rain'],30
84,Chicago,7/24/23,0,,30
85,Chicago,7/25/23,0,,10
86,Chicago,7/26/23,0.255,['rain'],75
87,Chicago,7/27/23,0,,30
88,Chicago,7/28/23,0.491,['rain'],75
89,Chicago,7/29/23,0.673,['rain'],10
90,Chicago,7/30/23,0,,10
91,Chicago,7/31/23,0,,10
92,New York,5/1/23,0.015,['rain'],10
93,New York,5/2/23,0.013,['rain'],10
94,New York,5/3/23,0,,10
95,New York,5/4/23,0.004,['rain'],10
96,New York,5/5/23,0,,10
97,New York,5/6/23,0,,10
