,city,latitude,longitude,date,humidity,feelslike,feelslikemin,feelslikemax,temp,tempmin,tempmax
0,Chicago,41.8843,-87.6324,2023-05-01,72.9,36.7,32.0,44.3,44.0,40.6,49.9
1,Chicago,41.8843,-87.6324,2023-05-02,53.9,43.4,35.7,54.6,48.1,42.9,54.6
2,Chicago,41.8843,-87.6324,2023-05-03,60.4,44.3,34.5,55.4,47.6,40.8,55.4
3,Chicago,41.8843,-87.6324,2023-05-04,48.4,56.9,40.6,71.6,57.3,41.8,71.6
4,Chicago,41.8843,-87.6324,2023-05-05,36.0,67.5,55.8,77.5,67.5,55.8,77.5
5,Chicago,41.8843,-87.6324,2023-05-06,54.3,67.9,59.6,77.4,67.9,59.6,77.4
6,Chicago,41.8843,-87.6324,2023-05-07,67.6,70.7,59.6,83.8,70.6,59.6,83.9
7,Chicago,41.8843,-87.6324,2023-05-08,84.0,54.7,51.8,64.5,54.7,51.8,64.5
8,Chicago,41.8843,-87.6324,2023-05-09,60.5,58.5,46.0,68.8,58.8,48.6,68.8
9,Chicago,41.8843,-87.6324,2023-05-10,47.1,64.4,50.6,78.4,64.4,50.6,78.4
10,Chicago,41.8843,-87.6324,2023-05-11,39.9,69.3,56.3,80.3,69.7,56.3,82.6
11,Chicago,41.8843,-87.6324,2023-05-12,65.8,68.4,60.8,75.3,68.4,60.8,75.3
12,Chicago,41.8843,-87.6324,2023-05-13,74.5,61.1,57.0,66.6,61.1,57.0,66.6
13,Chicago,41.8843,-87.6324,2023-05-14,59.2,58.8,54.3,63.0,58.8,54.3,63.0
14,Chicago,41.8843,-87.6324,2023-05-15,41.5,59.2,52.3,66.5,59.2,52.3,66.5
15,Chicago,41.8843,-87.6324,2023-05-16,45.8,62.9,51.3,79.5,63.0,51.3,80.9
16,Chicago,41.8843,-87.6324,2023-05-17,58.2,51.6,40.4,61.0,53.2,46.6,61.0
17,Chicago,41.8843,-87.6324,2023-05-18,41.1,59.6,44.4,73.9,60.2,46.3,73.9
18,Chicago,41.8843,-87.6324,2023-05-19,55.3,66.3,58.1,74.6,66.3,58.1,74.6
19,Chicago,41.8843,-87.6324,2023-05-20,51.8,59.5,45.7,70.7,59.8,49.2,70.7
20,Chicago,41.8843,-87.6324,2023-05-21,40.6,66.9,54.0,79.8,66.9,54.0,79.8
21,Chicago,41.8843,-87.6324,2023-05-22,39.4,69.3,55.5,79.7,69.4,55.5,81.2
22,Chicago,41.8843,-87.6324,2023-05-23,38.3,71.5,60.2,81.3,72.1,60.2,83.7
23,Chicago,41.8843,-87.6324,2023-05-24,54.8,62.0,54.2,67.9,62.0,54.2,67.9
24,Chicago,41.8843,-87.6324,2023-05-25,44.9,54.1,44.6,60.7,54.3,49.5,60.7
25,Chicago,41.8843,-87.6324,2023-05-26,42.6,58.9,46.7,69.1,59.2,48.8,69.1
26,Chicago,41.8843,-87.6324,2023-05-27,39.6,61.9,46.9,71.5,62.0,48.0,71.5
27,Chicago,41.8843,-87.6324,2023-05-28,37.8,67.1,55.7,78.2,67.1,55.7,78.2
28,Chicago,41.8843,-87.6324,2023-05-29,38.5,70.0,55.0,80.3,70.6,55.0,82.5
29,Chicago,41.8843,-87.6324,2023-05-30,39.3,74.0,62.0,85.5,74.8,62.0,88.2
30,Chicago,41.8843,-87.6324,2023-05-31,50.9,79.0,69.4,89.5,78.9,69.4,89.7
31,Chicago,41.8843,-87.6324,2023-06-01,57.5,78.6,69.2,89.7,78.3,69.2,89.5
32,Chicago,41.8843,-87.6324,2023-06-02,44.5,78.0,67.9,86.5,79.2,67.9,89.6
33,Chicago,41.8843,-87.6324,2023-06-03,48.5,76.1,66.4,84.8,76.7,66.4,87.4
34,Chicago,41.8843,-87.6324,2023-06-04,43.8,70.9,63.0,75.9,70.9,63.0,75.9
