,city,latitude,longitude,date,wind_direction,wind_speed,wind_gust
0,Chicago,41.8843,-87.6324,2023-05-01,304.2,21.8,35.5
1,Chicago,41.8843,-87.6324,2023-05-02,327.9,20.8,31.1
2,Chicago,41.8843,-87.6324,2023-05-03,6.1,16.5,26.8
3,Chicago,41.8843,-87.6324,2023-05-04,175.3,13.3,21.9
4,Chicago,41.8843,-87.6324,2023-05-05,171.8,18.2,33.3
5,Chicago,41.8843,-87.6324,2023-05-06,154.2,17.4,29.4
6,Chicago,41.8843,-87.6324,2023-05-07,127.8,17.0,24.6
7,Chicago,41.8843,-87.6324,2023-05-08,36.3,15.8,28.5
8,Chicago,41.8843,-87.6324,2023-05-09,43.1,11.9,18.3
9,Chicago,41.8843,-87.6324,2023-05-10,116.7,12.7,18.3
10,Chicago,41.8843,-87.6324,2023-05-11,126.2,12.0,25.3
11,Chicago,41.8843,-87.6324,2023-05-12,79.0,10.5,15.0
12,Chicago,41.8843,-87.6324,2023-05-13,35.2,14.8,23.0
13,Chicago,41.8843,-87.6324,2023-05-14,42.2,14.8,27.5
14,Chicago,41.8843,-87.6324,2023-05-15,46.7,13.2,21.9
15,Chicago,41.8843,-87.6324,2023-05-16,327.8,17.8,35.2
16,Chicago,41.8843,-87.6324,2023-05-17,34.1,15.7,25.3
17,Chicago,41.8843,-87.6324,2023-05-18,132.3,12.0,19.7
18,Chicago,41.8843,-87.6324,2023-05-19,264.6,14.4,24.2
19,Chicago,41.8843,-87.6324,2023-05-20,2.7,11.2,21.2
20,Chicago,41.8843,-87.6324,2023-05-21,213.2,12.6,20.8
21,Chicago,41.8843,-87.6324,2023-05-22,96.5,15.2,22.5
22,Chicago,41.8843,-87.6324,2023-05-23,101.8,14.0,24.2
23,Chicago,41.8843,-87.6324,2023-05-24,25.9,18.5,33.3
24,Chicago,41.8843,-87.6324,2023-05-25,52.7,16.2,25.5
25,Chicago,41.8843,-87.6324,2023-05-26,43.4,11.8,21.9
26,Chicago,41.8843,-87.6324,2023-05-27,55.9,13.8,23.0
27,Chicago,41.8843,-87.6324,2023-05-28,50.2,13.5,21.9
28,Chicago,41.8843,-87.6324,2023-05-29,56.0,10.9,18.3
29,Chicago,41.8843,-87.6324,2023-05-30,73.9,13.7,19.7
30,Chicago,41.8843,-87.6324,2023-05-31,162.6,11.7,32.0
31,Chicago,41.8843,-87.6324,2023-06-01,108.6,13.6,29.4
32,Chicago,41.8843,-87.6324,2023-06-02,62.1,12.2,20.8
33,Chicago,41.8843,-87.6324,2023-06-03,31.0,16.1,21.9
34,Chicago,41.8843,-87.6324,2023-06-04,48.0,12.7,23.0
35,Chicago,41.8843,-87.6324,2023-06-05,42.3,12.3,18.3
36,Chicago,41.8843,-87.6324,2023-06-06,25.1,15.7,26.4
37,Chicago,41.8843,-87.6324,2023-06-07,28.3,17.8,29.0
38,Chicago,41.8843,-87.6324,2023-06-08,24.0,13.9,24.2
39,Chicago,41.8843,-87.6324,2023-06-09,61.8,11.1,18.7
40,Chicago,41.8843,-87.6324,2023-06-10,224.4,10.2,22.7
41,Chicago,41.8843,-87.6324,2023-06-11,14.1,22.9,33.8
42,Chicago,41.8843,-87.6324,2023-06-12,325.8,17.9,31.3
43,Chicago,41.8843,-87.6324,2023-06-13,285.0,18.2,30.3
44,Chicago,41.8843,-87.6324,2023-06-14,65.4,9.8,13.9
45,Chicago,41.8843,-87.6324,2023-06-15,32.4,17.5,26.4
46,Chicago,41.8843,-87.6324,2023-06-16,23.4,14.2,26.4
47,Chicago,41.8843,-87.6324,2023-06-17,70.9,12.4,11.4
48,Chicago,41.8843,-87.6324,2023-06-18,121.5,14.7,25.4
49,Chicago,41.8843,-87.6324,2023-06-19,55.4,15.2,23.0
50,Chicago,41.8843,-87.6324,2023-06-20,30.3,16.3,24.2
51,Chicago,41.8843,-87.6324,2023-06-21,51.0,17.1,21.3
52,Chicago,41.8843,-87.6324,2023-06-22,44.4,16.8,26.4
53,Chicago,41.8843,-87.6324,2023-06-23,28.4,12.8,21.3
54,Chicago,41.8843,-87.6324,2023-06-24,101.9,14.0,23.0
55,Chicago,41.8843,-87.6324,2023-06-25,233.9,25.1,41.5
56,Chicago,41.8843,-87.6324,2023-06-26,293.6,20.1,33.6
57,Chicago,41.8843,-87.6324,2023-06-27,7.2,13.8,21.9
58,Chicago,41.8843,-87.6324,2023-06-28,121.7,13.0,20.8
59,Chicago,41.8843,-87.6324,2023-06-29,187.2,12.5,32.2
60,Chicago,41.8843,-87.6324,2023-06-30,238.2,15.2,24.5
61,Chicago,41.8843,-87.6324,2023-07-01,277.5,8.5,18.3
62,Chicago,41.8843,-87.6324,2023-07-02,11.0,14.8,23.0
63,Chicago,41.8843,-87.6324,2023-07-03,27.7,10.6,13.9
64,Chicago,41.8843,-87.6324,2023-07-04,236.0,12.6,18.3
65,Chicago,41.8843,-87.6324,2023-07-05,203.4,15.2,38.5
66,Chicago,41.8843,-87.6324,2023-07-06,35.4,12.2,20.8
67,Chicago,41.8843,-87.6324,2023-07-07,59.5,12.4,18.3
68,Chicago,41.8843,-87.6324,2023-07-08,8.5,11.3,16.1
69,Chicago,41.8843,-87.6324,2023-07-09,309.0,9.4,19.7
70,Chicago,41.8843,-87.6324,2023-07-10,233.1,13.9,22.7
71,Chicago,41.8843,-87.6324,2023-07-11,171.7,18.2,67.8
72,Chicago,41.8843,-87.6324,2023-07-12,144.5,18.3,31.2
73,Chicago,41.8843,-87.6324,2023-07-13,314.1,8.4,21.9
74,Chicago,41.8843,-87.6324,2023-07-14,239.6,22.7,44.4
75,Chicago,41.8843,-87.6324,2023-07-15,252.4,13.0,27.7
76,Chicago,41.8843,-87.6324,2023-07-16,263.7,16.1,23.1
77,Chicago,41.8843,-87.6324,2023-07-17,283.0,14.1,23.0
78,Chicago,41.8843,-87.6324,2023-07-18,51.6,11.0,20.8
79,Chicago,41.8843,-87.6324,2023-07-19,174.3,8.5,13.9
80,Chicago,41.8843,-87.6324,2023-07-20,281.9,18.8,30.4
81,Chicago,41.8843,-87.6324,2023-07-21,23.7,10.9,19.7
82,Chicago,41.8843,-87.6324,2023-07-22,267.1,13.3,24.2
83,Chicago,41.8843,-87.6324,2023-07-23,286.9,11.7,25.5
84,Chicago,41.8843,-87.6324,2023-07-24,68.3,9.9,13.9
85,Chicago,41.8843,-87.6324,2023-07-25,193.6,12.1,23.0
86,Chicago,41.8843,-87.6324,2023-07-26,214.7,13.0,36.7
87,Chicago,41.8843,-87.6324,2023-07-27,105.0,11.4,18.3
88,Chicago,41.8843,-87.6324,2023-07-28,230.8,20.5,37.4
89,Chicago,41.8843,-87.6324,2023-07-29,11.6,20.7,41.0
90,Chicago,41.8843,-87.6324,2023-07-30,36.0,13.9,24.2
91,Chicago,41.8843,-87.6324,2023-07-31,80.4,10.4,20.8
92,New York,40.7146,-74.0071,2023-05-01,256.5,17.3,35.6
93,New York,40.7146,-74.0071,2023-05-02,254.8,18.2,51.2
94,New York,40.7146,-74.0071,2023-05-03,255.2,10.1,17.3
95,New York,40.7146,-74.0071,2023-05-04,33.2,16.5,44.7
96,New York,40.7146,-74.0071,2023-05-05,80.3,13.3,40.3
97,New York,40.7146,-74.0071,2023-05-06,259.9,11.0,31.1
98,New York,40.7146,-74.0071,2023-05-07,236.5,10.3,58.6
99,New York,40.7146,-74.0071,2023-05-08,300.9,10.1,27.7
100,New York,40.7146,-74.0071,2023-05-09,71.9,13.3,40.6
101,New York,40.7146,-74.0071,2023-05-10,230.7,10.0,53.9
102,New York,40.7146,-74.0071,2023-05-11,250.3,10.3,48.7
103,New York,40.7146,-74.0071,2023-05-12,253.5,12.5,53.3
104,New York,40.7146,-74.0071,2023-05-13,254.5,7.0,43.6
105,New York,40.7146,-74.0071,2023-05-14,46.8,14.2,40.3
106,New York,40.7146,-74.0071,2023-05-15,267.7,14.5,48.3
107,New York,40.7146,-74.0071,2023-05-16,260.1,16.9,48.5
108,New York,40.7146,-74.0071,2023-05-17,1.0,12.6,42.3
109,New York,40.7146,-74.0071,2023-05-18,94.2,14.7,35.3
110,New York,40.7146,-74.0071,2023-05-19,175.9,16.1,35.8
111,New York,40.7146,-74.0071,2023-05-20,82.1,8.1,16.1
112,New York,40.7146,-74.0071,2023-05-21,297.6,11.5,46.0
113,New York,40.7146,-74.0071,2023-05-22,81.6,11.3,35.7
114,New York,40.7146,-74.0071,2023-05-23,96.9,12.2,45.9
115,New York,40.7146,-74.0071,2023-05-24,59.8,13.6,50.6
116,New York,40.7146,-74.0071,2023-05-25,50.6,11.6,44.1
117,New York,40.7146,-74.0071,2023-05-26,48.0,13.6,48.3
118,New York,40.7146,-74.0071,2023-05-27,171.0,10.0,36.7
119,New York,40.7146,-74.0071,2023-05-28,227.0,8.2,39.1
120,New York,40.7146,-74.0071,2023-05-29,80.2,16.8,23.8
121,New York,40.7146,-74.0071,2023-05-30,62.4,14.5,37.8
122,New York,40.7146,-74.0071,2023-05-31,91.7,10.1,43.6
123,New York,40.7146,-74.0071,2023-06-01,245.4,8.0,48.3
124,New York,40.7146,-74.0071,2023-06-02,166.3,10.1,44.7
125,New York,40.7146,-74.0071,2023-06-03,52.9,16.8,25.3
126,New York,40.7146,-74.0071,2023-06-04,48.6,16.7,24.2
127,New York,40.7146,-74.0071,2023-06-05,355.8,12.5,39.1
128,New York,40.7146,-74.0071,2023-06-06,278.1,7.9,47.2
129,New York,40.7146,-74.0071,2023-06-07,293.7,8.2,25.3
130,New York,40.7146,-74.0071,2023-06-08,284.3,9.1,42.5
131,New York,40.7146,-74.0071,2023-06-09,287.4,10.3,39.1
132,New York,40.7146,-74.0071,2023-06-10,300.3,7.0,42.5
133,New York,40.7146,-74.0071,2023-06-11,108.9,7.7,37.8
134,New York,40.7146,-74.0071,2023-06-12,120.2,14.7,35.6
135,New York,40.7146,-74.0071,2023-06-13,266.7,11.1,58.6
136,New York,40.7146,-74.0071,2023-06-14,245.7,18.9,33.0
137,New York,40.7146,-74.0071,2023-06-15,271.6,14.2,48.3
138,New York,40.7146,-74.0071,2023-06-16,357.6,11.1,51.7
139,New York,40.7146,-74.0071,2023-06-17,316.5,8.3,44.7
140,New York,40.7146,-74.0071,2023-06-18,275.6,10.3,52.6
141,New York,40.7146,-74.0071,2023-06-19,82.1,13.4,18.3
142,New York,40.7146,-74.0071,2023-06-20,55.5,11.2,17.2
143,New York,40.7146,-74.0071,2023-06-21,49.4,17.1,24.6
144,New York,40.7146,-74.0071,2023-06-22,43.9,19.4,28.6
145,New York,40.7146,-74.0071,2023-06-23,80.7,9.1,10.3
146,New York,40.7146,-74.0071,2023-06-24,157.5,10.4,16.1
147,New York,40.7146,-74.0071,2023-06-25,170.4,11.4,31.1
148,New York,40.7146,-74.0071,2023-06-26,58.3,12.5,55.3
149,New York,40.7146,-74.0071,2023-06-27,191.8,9.0,37.4
150,New York,40.7146,-74.0071,2023-06-28,250.4,9.0,44.4
151,New York,40.7146,-74.0071,2023-06-29,249.0,7.6,55.3
152,New York,40.7146,-74.0071,2023-06-30,213.9,11.4,46.1
153,New York,40.7146,-74.0071,2023-07-01,192.8,13.5,54.8
154,New York,40.7146,-74.0071,2023-07-02,173.4,8.8,31.1
155,New York,40.7146,-74.0071,2023-07-03,263.6,9.1,29.8
156,New York,40.7146,-74.0071,2023-07-04,253.5,6.6,34.4
157,New York,40.7146,-74.0071,2023-07-05,286.9,7.6,50.6
158,New York,40.7146,-74.0071,2023-07-06,168.4,10.9,40.3
159,New York,40.7146,-74.0071,2023-07-07,196.2,8.7,19.7
160,New York,40.7146,-74.0071,2023-07-08,172.0,11.1,39.1
161,New York,40.7146,-74.0071,2023-07-09,139.3,11.5,34.4
162,New York,40.7146,-74.0071,2023-07-10,310.8,9.3,45.1
163,New York,40.7146,-74.0071,2023-07-11,248.5,8.1,43.0
164,New York,40.7146,-74.0071,2023-07-12,248.8,9.0,52.9
165,New York,40.7146,-74.0071,2023-07-13,184.4,17.8,51.7
166,New York,40.7146,-74.0071,2023-07-14,49.5,14.6,34.4
167,New York,40.7146,-74.0071,2023-07-15,187.2,10.3,45.9
168,New York,40.7146,-74.0071,2023-07-16,221.3,10.0,25.3
169,New York,40.7146,-74.0071,2023-07-17,220.5,10.4,20.8
170,New York,40.7146,-74.0071,2023-07-18,222.1,17.1,40.3
171,New York,40.7146,-74.0071,2023-07-19,242.4,15.6,48.3
172,New York,40.7146,-74.0071,2023-07-20,172.5,9.0,47.2
173,New York,40.7146,-74.0071,2023-07-21,238.3,11.5,50.0
